municipio_id,uf_codigo,periodo_censo,periodo_corrente,rdpc_censo_municipio_reais_mes,rdpc_censo_uf_reais_mes,rdpc_pnad_uf_reais_mes,populacao_estimada_pessoas,rdpc_est_reais_mes,massa_renda_reais_mes
1200138,12,2022,2025,709.71,1067.93,1427.0,13928.0,948.3357242515895,13208419.967376137
1200179,12,2022,2025,806.69,1067.93,1427.0,10981.0,1077.9233002163064,11836675.75967526
1200203,12,2022,2025,905.21,1067.93,1427.0,98916.0,1209.5686702311948,119645694.58458887
1200252,12,2022,2025,1026.76,1067.93,1427.0,19874.0,1371.9874149054713,27266877.883831337
1200302,12,2022,2025,610.92,1067.93,1427.0,37764.0,816.3295721629694,30827869.963162377
1200328,12,2022,2025,542.04,1067.93,1427.0,9884.0,724.290056464375,7158882.9180938825
1200336,12,2022,2025,695.9,1067.93,1427.0,20479.0,929.8823892951784,19043061.45037596
1200344,12,2022,2025,622.38,1067.93,1427.0,12923.0,831.6427668480143,10747319.475976888
1200351,12,2022,2025,516.91,1067.93,1427.0,18057.0,690.7105990092983,12472161.2863109
1200385,12,2022,2025,992.54,1067.93,1427.0,17107.0,1326.26162763477,22688357.66394801
1200393,12,2022,2025,603.27,1067.93,1427.0,11333.0,806.1074134072458,9135615.316144316
1200401,12,2022,2025,1436.01,1067.93,1427.0,389001.0,1918.839502589121,746430485.3466706
1200427,12,2022,2025,633.26,1067.93,1427.0,15560.0,846.180948189488,13166575.553828433
1200435,12,2022,2025,449.8,1067.93,1427.0,7217.0,601.0362102384987,4337678.329291245
1200450,12,2022,2025,974.21,1067.93,1427.0,22402.0,1301.7685335181143,29162218.687872797
1200500,12,2022,2025,794.44,1067.93,1427.0,44049.0,1061.5544839081213,46760413.461668834
1200609,12,2022,2025,604.36,1067.93,1427.0,46816.0,807.5639040011986,37806911.729720116
1200708,12,2022,2025,898.65,1067.93,1427.0,19170.0,1200.8030020694239,23019393.549670856
1200807,12,2022,2025,733.17,1067.93,1427.0,17523.0,979.6836777691422,17166997.085548677
1300029,13,2022,2025,494.91,979.58,1425.0,16806.0,719.9480899977541,12099447.600502254
1300060,13,2022,2025,556.4,979.58,1425.0,11533.0,809.397905224688,9334786.040956326
1300086,13,2022,2025,559.76,979.58,1425.0,9981.0,814.2857142857142,8127385.714285714
1300102,13,2022,2025,624.85,979.58,1425.0,18056.0,908.9724677923192,16412406.878458116
1300144,13,2022,2025,1009.03,979.58,1425.0,21781.0,1467.841064537863,31971046.226699196
1300201,13,2022,2025,556.2,979.58,1425.0,15889.0,809.1069642091509,12855900.554319197
1300300,13,2022,2025,649.03,979.58,1425.0,45960.0,944.1472365707751,43393006.99279282
1300409,13,2022,2025,595.57,979.58,1425.0,18210.0,866.3787031176628,15776756.183772638
1300508,13,2022,2025,521.15,979.58,1425.0,33722.0,758.1195512362441,25565307.506788623
1300607,13,2022,2025,576.24,979.58,1425.0,40908.0,838.2592539659854,34291509.56124053
1300631,13,2022,2025,608.58,979.58,1425.0,22495.0,885.3044161783621,19914922.841932256
1300680,13,2022,2025,497.38,979.58,1425.0,26479.0,723.5412115396393,19158647.74035811
1300706,13,2022,2025,669.72,979.58,1425.0,38792.0,974.2450846281059,37792915.322893485
1300805,13,2022,2025,567.31,979.58,1425.0,34869.0,825.2687376222461,28776295.6121501
1300839,13,2022,2025,488.73,979.58,1425.0,14806.0,710.9580126176525,10526444.334816962
1300904,13,2022,2025,601.49,979.58,1425.0,18109.0,874.9905571775658,15845203.99992854
1301001,13,2022,2025,579.82,979.58,1425.0,31130.0,843.4670981441027,26257130.765225917
1301100,13,2022,2025,698.24,979.58,1425.0,32336.0,1015.7332734437208,32844751.130076155
1301159,13,2022,2025,638.54,979.58,1425.0,20324.0,928.8873803058452,18878707.117335998
